Source,July19Topic
User0186,12
User6696,6
User2613,7
User7265,5
User7628,12
User7551,12
User7378,12
User7178,12
User5952,17
User5732,12
User5557,12
User5459,12
User5348,17
User5297,12
User5224,12
User4977,12
User4835,12
User4414,12
User4266,15
User4208,15
User3864,12
User3858,12
User3598,12
User2955,12
User2806,12
User2699,17
User2571,12
User2044,12
User1545,17
User1233,15
User1187,17
User1145,12
User1103,12
User1081,12
User0822,15
User0564,12
User0505,12
User0500,15
User0483,15
User0455,17
User0454,17
User0414,12
User0369,12
User0323,17
User0266,17
User0263,12
User0205,15
User0158,12
User0124,12
User0093,12
User0063,17
User0235,15
User4795,15
User1506,15
User5595,15
User4121,15
User4002,6
User0756,12
User5617,3
User0466,3
User0113,3
User1283,7
User3735,7
User3240,7
User3897,12
User2971,2
User4733,3
User5459,17
User4313,6
User1351,5
User2007,5
User3379,5
User5083,5
User6095,5
User5269,5
User0020,5
User1597,5
User6523,5
User4378,5
User6256,7
User3460,5
User3004,5
User3737,5
User0587,5
User1157,5